id	category	question	value	distractor1	distractor2	distractor3	audit_status	issues
DV20-273	Chair Flying - Phase Actions	Chair-fly abnormal drills: hands-and-eyes flow item - what is the first action for an electrical fire (with smoke) in f…	Master switch (battery) OFF	Full throttle	Open canopy immediately	Extend flaps LDG		
DV20-274	Chair Flying - Mental Flows	Chair-fly abnormal drills: mental callout check - If the generator warning light shows with discharge on the ammeter, w…	Switch off all nonessential equipment and land at nearest suitable airport	Increase throttle to maximum	Turn master switch ON and OFF repeatedly	Continue flight indefinitely		
DV20-275	Chair Flying - Phase Actions	Chair-fly abnormal drills: hands-and-eyes flow item - if the generator warning light shows with discharge on the ammete…	Switch off all nonessential equipment and land at nearest suitable airport	Increase throttle to maximum	Turn master switch ON and OFF repeatedly	Continue flight indefinitely		
DV20-276	Chair Flying - Mental Flows	Chair-fly abnormal drills: mental callout check - What airspeed does the ENGINE FIRE IN FLIGHT checklist specify?	70 kts	90 kts	95 kts	VS + 10 kts		
DV20-277	Chair Flying - Phase Actions	Chair-fly abnormal drills: hands-and-eyes flow item - what airspeed does the ENGINE FIRE IN FLIGHT checklist specify?	70 kts	15 kts	64 kts	60 kts		
DV20-278	Chair Flying - Mental Flows	Chair-fly abnormal drills: mental callout check - What is the first priority in all abnormal procedures?	Maintain airplane control — fly the airplane	Extend flaps immediately	Complete radio calls first	Shut down all electrical systems		
DV20-279	Chair Flying - Phase Actions	Chair-fly abnormal drills: hands-and-eyes flow item - what is the first priority in all abnormal procedures?	Maintain airplane control — fly the airplane	Extend flaps immediately	Complete radio calls first	Shut down all electrical systems		
DV20-280	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - On the fuel dipstick, what does the lowest notch indicate?	10 liters of usable fuel	Full tank only	77 liters total	Unusable fuel quantity		
DV20-281	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - on the fuel dipstick, what does the lowest notch indicate?	10 liters of usable fuel	Full tank only	77 liters total	Unusable fuel quantity		
DV20-282	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - What is the preferred approved fuel at EHHV?	MOGAS per BAZ-Regulation	Aviation lubricant mixed with fuel	Jet A-1	Automotive diesel		
DV20-283	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - what is the preferred approved fuel at EHHV?	MOGAS per BAZ-Regulation	Aviation lubricant mixed with fuel	Jet A-1	Automotive diesel		
DV20-284	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - According to the document's CAUTION, what must NOT be used as a lubrica…	Aviation lubricant for engine oil	MOGAS at EHHV	SF or SG marked automotive oil	100LL AVGAS		
DV20-285	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - according to the document's CAUTION, what must NOT be used as a lub…	Aviation lubricant for engine oil	MOGAS at EHHV	SF or SG marked automotive oil	100LL AVGAS		
DV20-286	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - In the departure briefing example, where is the circuit left at Hilvers…	700 ft at crosswind leg under 45°	500 ft and 20° before extended centerline	300 ft	200 ft AAL		
DV20-287	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - in the departure briefing example, where is the circuit left at Hil…	700 ft at crosswind leg under 45°	300 ft AGL	Downwind with 1000 ft point	Above 1000 ft AAL		
DV20-288	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - What should threat and error management briefings identify?	Threats and how to mitigate them	Passenger meal preferences	Historical accident statistics only	Only radio phraseology		
DV20-289	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - what should threat and error management briefings identify?	Threats and how to mitigate them	Passenger meal preferences	Historical accident statistics only	Only radio phraseology		
DV20-290	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - What does an EHHV glide-in from 1000 ft downwind require?	Mandatory call, no traffic ahead, instructor only	Solo student approval	No radio call required	Full flap landing		
DV20-291	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - what does an EHHV glide-in from 1000 ft downwind require?	Mandatory call, no traffic ahead, instructor only	Solo student approval	No radio call required	Full flap landing		
DV20-292	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - What call sign prefix should solo student pilots use?	STUDENT	GLIDER	TRAINING	DV20		
DV20-293	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - what call sign prefix should solo student pilots use?	STUDENT	GLIDER	TRAINING	DV20		
DV20-294	Chair Flying - Mental Flows	Chair-fly pre-departure: mental callout check - When taxiing, the instruments/brakes check is called out after leaving …	The parking area	Crosswind leg	The runway	700 ft AAL		
DV20-295	Chair Flying - Phase Actions	Chair-fly pre-departure: hands-and-eyes flow item - when taxiing, the instruments/brakes check is called out after leav…	The parking area	Crosswind leg	The runway	700 ft AAL		
DV20-296	Chair Flying - Full Sequence	Chair-flying a full circuit at takeoff: What is the rotation speed for a normal takeoff?	51 kts	58 kts	65 kts	57 kts		
DV20-297	Chair Flying - Full Sequence	Chair-flying a full circuit at climb: After rotation on a normal takeoff, to what speed do you accelerate?	65 kts (Vy flaps T/O) then 70 kts after flap retraction	Flaps UP and brake carefully	A flapless landing	MAX RPM, throttle FULL, carburetor heat OFF		
DV20-298	Chair Flying - Full Sequence	Chair-flying a full circuit at level flight: What is the standard power setting for straight and level flight?	"25"" MP, 2400 RPM, 90 kts"	"±21"" MP, speed 70 kts"	"12–15"" MP"	"±18"" MP, 2400 RPM, 90 kts"		
DV20-299	Chair Flying - Full Sequence	Chair-flying a full circuit at climb: In the transition from straight and level to climb, at what speed is the throttle…	70 kts	90 kts	58 kts	65 kts		
DV20-300	Chair Flying - Full Sequence	Chair-flying a full circuit at descent: In the transition to descent, what should be done with carburetor heat?	ON before reducing power	A flapless landing	MAX RPM, throttle FULL, carburetor heat OFF	"T/O after ""Speed checked"" within white arc"		
DV20-301	Chair Flying - Full Sequence	Chair-flying a full circuit at turns: What is the standard bank angle for a level turn?	30°	45°	15°	20°		
DV20-302	Chair Flying - Full Sequence	Chair-flying a full circuit at downwind: What speed is included in the downwind HARS check?	70 kts	90 kts	60 kts	75 kts		
DV20-303	Chair Flying - Full Sequence	Chair-flying a full circuit at base leg: When turning base, where should the threshold be relative to the wing?	45–60° behind the wing	45° half-way crosswind leg	30°	15°		
DV20-304	Chair Flying - Full Sequence	Chair-flying a full circuit at final approach: What is the minimum approach speed on final?	60 kts	58 kts	70 kts	55 kts		
DV20-305	Chair Flying - Phase Decision Drills	You are chair-flying Base-to-final turn — altitude and position. At approximately what altitude and position is the bas…	500 ft and 20° before extended centerline	300 ft on centerline	700 ft at crosswind	200 ft abeam threshold		
DV20-306	Chair Flying - Phase Decision Drills	You are chair-flying Final centerline — established altitude. By what altitude should you be established on the final c…	300 ft	200 ft AAL	300 ft AGL	Downwind with 1000 ft point		
DV20-307	Chair Flying - Phase Decision Drills	You are chair-flying Final approach — max flap extension speed. Below what speed may the flaps be selected?	81 kts (VFE)	70 kts	117 kts (VNO)	104 kts (VA)		
DV20-308	Chair Flying - Phase Decision Drills	You are chair-flying VFR standard circuit. What is the minimum height for overflying a circuit area to read the signal …	1000 ft AAL	700 ft AAL	2000 ft AGL	500 ft AAL		
DV20-309	Chair Flying - Phase Decision Drills	You are chair-flying Normal takeoff — post-rotation acceleration speed. After rotation on a normal takeoff, to what spe…	65 kts (Vy flaps T/O) then 70 kts after flap retraction	Maintain airplane control — fly the airplane	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"		
DV20-310	Chair Flying - Phase Decision Drills	You are chair-flying Normal takeoff (long hard runway) — flap setting. For a normal takeoff from a long, hard-surface r…	Flaps UP	Flaps T/O	Flaps LDG	No flaps, with reduced power		
DV20-311	Chair Flying - Phase Decision Drills	You are chair-flying Normal takeoff (short/soft runway) — flap setting. For a normal takeoff from a short runway (<800 …	Flaps T/O	Flaps UP	Flaps LDG	No flaps, with reduced power		
DV20-312	Chair Flying - Phase Decision Drills	You are chair-flying Obstacle clearance takeoff. What is the rotation speed for an obstacle clearance (short field) tak…	57 kts	60 kts	51 kts	65 kts		
DV20-313	Chair Flying - Phase Decision Drills	You are chair-flying Obstacle clearance takeoff — climb speed. What climb speed is held until clear of obstacles on an …	58 kts (Vx)	65 kts (Vy)	70 kts	51 kts		
DV20-314	Chair Flying - Phase Decision Drills	You are chair-flying Soft/rough field takeoff — nose-raise speed. On a soft/rough field takeoff, at what speed do you g…	60 kts	65 kts	51 kts	70 kts		
DV20-315	Chair Flying - Phase Decision Drills	You are chair-flying Normal takeoff. During the takeoff roll, what should the engine instruments read?	2400 RPM ±100 RPM	1700 RPM	1100–1500 RPM	1100 RPM		
DV20-316	Chair Flying - Phase Decision Drills	You are chair-flying Normal takeoff, leaving the circuit. When leaving the circuit after departure, what is done with t…	OFF	T/O	ON	UP		
DV20-317	Chair Flying - Phase Decision Drills	You are chair-flying Circuit and normal landing. What is the normal minimum speed over the threshold?	60 kts	70 kts	58 kts	55 kts		
DV20-318	Chair Flying - Phase Decision Drills	You are chair-flying Flaps-up landing — circuit speeds. In a flaps-up landing, what are the downwind, base, and final s…	70 kts / 70 kts / 70 kts	90 kts / 80 kts / 70 kts	70 kts / 65 kts / 58 kts	75 kts / 70 kts / 60 kts		
DV20-319	Chair Flying - Phase Decision Drills	You are chair-flying Normal landing — throttle idle point. During a normal landing, when is the throttle retarded to id…	Level flight about 1 m above the runway is established	ON before reducing power	"Increase power setting by 2"""	Clock position combined with above/below/on the horizon		
DV20-320	Chair Flying - Phase Decision Drills	You are chair-flying Short field landing — post-nosewheel action. On a short field landing, what is done after the nose…	Flaps UP and brake carefully	Apply full power for touch-and-go	Leave flaps LDG until clear of runway	Retract carb heat first		
DV20-321	Chair Flying - Phase Decision Drills	You are chair-flying Touch and go (paved) — flap setting. What flap setting is used for a touch and go on a paved runwa…	UP (considering distance available)	LDG until rotation	Full flap throughout	T/O always		
DV20-322	Chair Flying - Phase Decision Drills	You are chair-flying Strong crosswind — recommended landing type. In a strong crosswind, what type of landing may be ad…	A flapless landing	Higher power on final only	Full flap landing always	Slip without rudder correction		
DV20-323	Chair Flying - Phase Decision Drills	You are chair-flying Go-around — flap setting after power. After applying power in a go-around, what flap setting is se…	"T/O after ""Speed checked"" within white arc"	"Increase power setting by 2"""	Clock position combined with above/below/on the horizon	Decrease angle of attack, not altitude loss		
DV20-324	Chair Flying - Phase Decision Drills	You are chair-flying Go-around, balked landing. What is the initial climb speed sequence after a go-around?	58 kts (Vx), then 65 kts (Vy) when clear of obstacles	90 kts until downwind	51 kts until 200 ft	70 kts immediately		
DV20-325	Chair Flying - Phase Decision Drills	You are chair-flying Go-around — flaps UP height/prop setting. After a go-around, above what height are flaps selected …	200 ft AAL	700 ft AAL	500 ft AGL on base	1000 ft AAL		
DV20-326	Chair Flying - Phase Decision Drills	You are chair-flying Go-around at Hilversum — runway side restriction. During a go-around at Hilversum, which side of t…	Right side of runway due to gliders/paras	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"	100 ft/min extra descend rate		
DV20-327	Chair Flying - Phase Decision Drills	You are chair-flying Rejected takeoff — abort criterion. A rejected takeoff should be executed if a continued takeoff b…	Rotation	Flap retraction	Crosswind turn	Direct final		
DV20-328	Chair Flying - Phase Decision Drills	You are chair-flying Engine failure after takeoff. Below what height should a simulated engine failure after takeoff (E…	300 ft AGL	500 ft AGL	700 ft AAL	200 ft AAL		
DV20-329	Chair Flying - Phase Decision Drills	You are chair-flying Engine failure after takeoff — glide speed. After an engine failure after takeoff, to what glide s…	59 kts with flaps T/O, or 70 kts with flaps UP	Maintain airplane control — fly the airplane	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"		
DV20-330	Chair Flying - Phase Decision Drills	You are chair-flying Engine failure in flight (>1500 ft) — fly-to area. On an engine failure in flight above 1500 ft, w…	Downwind with 1000 ft point	100 ft before desired altitude	2000 ft AGL	3000 ft AGL		
DV20-331	Chair Flying - Phase Decision Drills	You are chair-flying Engine failure in flight (<700 ft) — fly-to area. On an engine failure in flight below 700 ft, whe…	Direct final	Climb to 1500 ft first	Direct base only	The parking area		
DV20-332	Chair Flying - Phase Decision Drills	You are chair-flying Emergency landing engine off — approach speed. What airspeed is used for an emergency landing with…	59 kts	43 kts always	55 kts on downwind only	70 kts		
DV20-333	Chair Flying - Phase Decision Drills	You are chair-flying Electrical fire including smoke in flight. What is the first action for an electrical fire (with s…	Master switch (battery) OFF	Full throttle	Open canopy immediately	Extend flaps LDG		
DV20-334	Chair Flying - Phase Decision Drills	You are chair-flying Generator warning light with discharge — action. If the generator warning light shows with dischar…	Switch off all nonessential equipment and land at nearest suitable airport	Increase throttle to maximum	Turn master switch ON and OFF repeatedly	Continue flight indefinitely		
DV20-335	Chair Flying - Phase Decision Drills	You are chair-flying introduction. What is the first priority in all abnormal procedures?	Maintain airplane control — fly the airplane	Extend flaps immediately	Complete radio calls first	Shut down all electrical systems		
DV20-336	Chair Flying - Phase Decision Drills	You are chair-flying Fuel dipstick — lowest notch indication. On the fuel dipstick, what does the lowest notch indicate?	10 liters of usable fuel	Full tank only	77 liters total	Unusable fuel quantity		
DV20-337	Chair Flying - Phase Decision Drills	You are chair-flying Approved fuel grades. What is the preferred approved fuel at EHHV?	MOGAS per BAZ-Regulation	Aviation lubricant mixed with fuel	Jet A-1	Automotive diesel		
DV20-338	Chair Flying - Phase Decision Drills	You are chair-flying Approved lubricant CAUTION — prohibited substitute. According to the document's CAUTION, what must…	Aviation lubricant for engine oil	MOGAS at EHHV	SF or SG marked automotive oil	100LL AVGAS		
DV20-339	Chair Flying - Phase Decision Drills	You are chair-flying Departure briefing — Hilversum circuit join point. In the departure briefing example, where is the…	700 ft at crosswind leg under 45°	700 ft AAL	1000 ft AAL	500 ft and 20° before extended centerline		
DV20-340	Chair Flying - Phase Decision Drills	You are chair-flying Departure and approach briefing & TEM. What should threat and error management briefings identify?	Threats and how to mitigate them	Passenger meal preferences	Historical accident statistics only	STUDENT		
DV20-341	Chair Flying - Phase Decision Drills	You are chair-flying EHHV glide-in — downwind requirement. What does an EHHV glide-in from 1000 ft downwind require?	Mandatory call, no traffic ahead, instructor only	Solo student approval	No radio call required	Full flap landing		
DV20-342	Chair Flying - Phase Decision Drills	You are chair-flying Solo student call sign prefix. What call sign prefix should solo student pilots use?	STUDENT	GLIDER	TRAINING	DV20		
DV20-343	Chair Flying - Phase Decision Drills	You are chair-flying Instruments/brakes check during taxiing. When taxiing, the instruments/brakes check is called out …	The parking area	Crosswind leg	The runway	UP (considering distance available)		
DV20-344	Chair Flying - Phase Decision Drills	You are chair-flying After take-off. On the AFTER TAKE-OFF checklist (minimum 200 ft AAL), what should you do?	Select flaps UP and set propeller speed to 2400 RPM	Set flaps T/O and reduce to idle power	Retract flaps and turn electric fuel pump OFF	Extend flaps LDG and set MAX RPM		
DV20-345	Chair Flying - Phase Decision Drills	You are chair-flying Electric fuel pump OFF timing. When should the electric fuel pump be switched OFF after takeoff?	Above 1000 ft AAL	3000 ft AGL	700 ft AAL	1000 ft AAL		
DV20-346	Chair Flying - Phase Decision Drills	You are chair-flying Engine run-up — throttle RPM (brakes held). During the engine run-up, to what RPM is the throttle …	1700 RPM	1500 RPM	1100 RPM	2400 RPM		
DV20-347	Chair Flying - Phase Decision Drills	You are chair-flying Starting engine (CAUTION). If oil pressure is below 1.5 bar after start, what is the maximum delay…	10 seconds	5 seconds	15 seconds	30 seconds		
DV20-348	Chair Flying - Phase Decision Drills	You are chair-flying Downwind. what position should carburetor heat be in?	ON	OFF	T/O	UP		
DV20-349	Chair Flying - Phase Decision Drills	You are chair-flying Emergency landing with engine off — approach speed. What airspeed does the EMERGENCY LANDING WITH …	59 kts	70 kts	43 kts	55 kts		
DV20-350	Chair Flying - Phase Decision Drills	You are chair-flying Flap system failure (UP only) — approach speed adjustment. In a flap system failure where only the…	Raised by 10 kts	104 kts	15 kts	64 kts		
DV20-351	Chair Flying - Phase Decision Drills	You are chair-flying Taxi warm-up — oil temperature RPM. During taxi warm-up, at what RPM is the engine oil warmed to 5…	1100–1500 RPM	1700 RPM	2400 RPM ±100 RPM	1100 RPM		
DV20-352	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is Vy (best rate of climb) for the DV20?	70 kts	58 kts	65 kts	90 kts		
DV20-353	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is Vy (best rate of climb) with flaps in the T/O position?	65 kts	75 kts	58 kts	70 kts		
DV20-354	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is Vx (best angle of climb) with flaps T/O?	58 kts	51 kts	65 kts	70 kts		
DV20-355	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is the stall speed VS1 (flaps up)?	43 kts	39 kts	58 kts	38 kts		
DV20-356	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is VSO (stall speed, flaps down)?	38 kts	43 kts	55 kts	39 kts		
DV20-357	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is VFE (maximum speed with flaps extended)?	81 kts	104 kts	117 kts	70 kts		
DV20-358	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is VA (maneuvering speed)?	104 kts	117 kts	90 kts	161 kts		
DV20-359	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is the maximum demonstrated crosswind component?	15 kts	20 kts	25 kts	10 kts		
DV20-360	Chair Flying - Phase Decision Drills	You are chair-flying Vy (best rate of climb). What is the best glide speed with flaps UP?	70 kts	58 kts	59 kts	64 kts		
DV20-361	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Speeds. What is the best glide speed with flaps T/O?	64 kts	70 kts	59 kts	65 kts		
DV20-362	Chair Flying - Phase Decision Drills	You are chair-flying General aircraft numbers - Weights. What is the maximum takeoff weight for PH-MFT and PH-SKM?	730 kg	495 kg	750 kg	511 kg		
DV20-363	Chair Flying - Phase Decision Drills	You are chair-flying Average fuel usage. What is the usable fuel tank capacity?	77 liters	100 liters	58 liters	79 liters		
DV20-364	Chair Flying - Phase Decision Drills	You are chair-flying Estimated gliding distance. What is the approximate glide ratio (L/Dmax) of the Katana?	14:1	10:1	7:1	20:1		
DV20-365	Chair Flying - Phase Decision Drills	You are chair-flying Downwind flaps T/O — throttle setting. On downwind, after selecting flaps T/O, to what setting is …	"±24"" MP to maintain 70 kts"	Full throttle until base	"±15"" MP to maintain 70 kts"	"±21"" MP to maintain 75 kts"		
DV20-366	Chair Flying - Phase Decision Drills	You are chair-flying Powersetting / configuration versus speed table. What is the initial throttle (MP) setting when tu…	"15"" MP"	"±21"" MP, speed 70 kts"	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"		
DV20-367	Chair Flying - Phase Decision Drills	You are chair-flying Powersetting table / Circuit and normal landing (p.18, 39). What is the minimum approach speed on …	60 kts	58 kts	70 kts	55 kts		
DV20-368	Chair Flying - Phase Decision Drills	You are chair-flying Descent — extra rate per inch MP reduction. During descent, approximately how much extra descent r…	100 ft/min extra descend rate	No change to descend rate	50 ft/min less descend rate	200 ft/min extra descend rate		
DV20-369	Chair Flying - Phase Decision Drills	You are chair-flying Circuit continuation — power and speed at 700 ft AAL. When staying in the circuit, what power sett…	"±21"" MP, speed 70 kts"	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"		
DV20-370	Chair Flying - Phase Decision Drills	You are chair-flying Transition to climb — full throttle speed. In the transition from straight and level to climb, at …	70 kts	90 kts	58 kts	65 kts		
DV20-371	Chair Flying - Phase Decision Drills	You are chair-flying Level-off from climb — power reduction speed. When leveling off from a climb, at what airspeed is …	90 kts	70 kts	65 kts	75 kts		
DV20-372	Chair Flying - Phase Decision Drills	You are chair-flying Transition to descent — carburetor heat. In the transition to descent, what should be done with ca…	ON before reducing power	MAX RPM, throttle FULL, carburetor heat OFF	"T/O after ""Speed checked"" within white arc"	Right side of runway due to gliders/paras		
DV20-373	Chair Flying - Phase Decision Drills	You are chair-flying Level-off from descent — carburetor heat OFF point. When leveling off from a descent, at what poin…	100 ft before desired altitude	300 ft	200 ft AAL	300 ft AGL		
DV20-374	Chair Flying - Phase Decision Drills	You are chair-flying Steep turn. During a 45 degree steep turn, what should you do when passing 30 degrees of bank?	"Increase power setting by 2"""	Extend flaps T/O	"Decrease power setting by 2"""	Retard throttle to idle		
DV20-375	Chair Flying - Phase Decision Drills	You are chair-flying Clearing turns — target speed. What speed should be maintained during clearing turns before maneuv…	90 kts	VS+10 kts	65 kts	70 kts		
DV20-376	Chair Flying - Phase Decision Drills	You are chair-flying Transition to glide. What is the target speed when establishing a glide from straight and level?	70 kts	90 kts	59 kts	64 kts		
DV20-377	Chair Flying - Phase Decision Drills	You are chair-flying Slow flight entry — initial power reduction. On entry to slow flight, to what power setting is pow…	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"	"15"" MP"		
DV20-378	Chair Flying - Phase Decision Drills	You are chair-flying Power-on stall recovery — minimum speed before climb attitude. In a power-on stall recovery, what …	60 kts	43 kts	55 kts	70 kts		
DV20-379	Chair Flying - Phase Decision Drills	You are chair-flying Stall recovery — priority action. During stall recovery, what takes priority?	Decrease angle of attack, not altitude loss	Maintain altitude at all costs	Retard throttle to idle first	Extend flaps immediately		
DV20-380	Chair Flying - Phase Decision Drills	You are chair-flying Before lowering flaps — required action. What must you do before lowering the flaps?	"Check speed is in the white arc and call out ""Speed checked"""	Set power to idle	Retract flaps fully first	Set carburetor heat OFF		
DV20-381	Chair Flying - Phase Decision Drills	You are chair-flying Accelerating from slow flight — flap retraction speed. When accelerating out of slow flight with f…	81 kts	90 kts	104 kts	70 kts		
DV20-382	Chair Flying - Phase Decision Drills	You are chair-flying Circuit area vertical extent. Up to what altitude does the aerodrome circuit area extend verticall…	1000 ft AAL	500 ft AGL	700 ft AAL	2000 ft AAL		
DV20-383	Chair Flying - Phase Decision Drills	You are chair-flying Circuit departure point. Where does leaving the aerodrome circuit normally take place?	45° half-way crosswind leg	30°	15°	Half-way downwind at 90° interception angle		
DV20-384	Chair Flying - Phase Decision Drills	At this point in Base-to-final turn — altitude and position, At approximately what altitude and position is the base-to…	500 ft and 20° before extended centerline	300 ft on centerline	700 ft at crosswind	200 ft abeam threshold		
DV20-385	Chair Flying - Phase Decision Drills	At this point in Final centerline — established altitude, By what altitude should you be established on the final cente…	300 ft	200 ft AAL	300 ft AGL	Downwind with 1000 ft point		
DV20-386	Chair Flying - Phase Decision Drills	At this point in Final approach — max flap extension speed, Below what speed may the flaps be selected?	81 kts (VFE)	70 kts	117 kts (VNO)	104 kts (VA)		
DV20-387	Chair Flying - Phase Decision Drills	At this point in VFR standard circuit, What is the minimum height for overflying a circuit area to read the signal area?	1000 ft AAL	700 ft AAL	2000 ft AGL	500 ft AAL		
DV20-388	Chair Flying - Phase Decision Drills	At this point in Normal takeoff — post-rotation acceleration speed, After rotation on a normal takeoff, to what speed d…	65 kts (Vy flaps T/O) then 70 kts after flap retraction	Maintain airplane control — fly the airplane	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"		
DV20-389	Chair Flying - Phase Decision Drills	At this point in Normal takeoff (long hard runway) — flap setting, For a normal takeoff from a long, hard-surface runwa…	Flaps UP	Flaps T/O	Flaps LDG	No flaps, with reduced power		
DV20-390	Chair Flying - Phase Decision Drills	At this point in Normal takeoff (short/soft runway) — flap setting, For a normal takeoff from a short runway (<800 m) o…	Flaps T/O	Flaps UP	Flaps LDG	No flaps, with reduced power		
DV20-391	Chair Flying - Phase Decision Drills	At this point in Obstacle clearance takeoff, What is the rotation speed for an obstacle clearance (short field) takeoff?	57 kts	60 kts	51 kts	65 kts		
DV20-392	Chair Flying - Phase Decision Drills	At this point in Obstacle clearance takeoff — climb speed, What climb speed is held until clear of obstacles on an obst…	58 kts (Vx)	65 kts (Vy)	70 kts	51 kts		
DV20-393	Chair Flying - Phase Decision Drills	At this point in Soft/rough field takeoff — nose-raise speed, On a soft/rough field takeoff, at what speed do you gentl…	60 kts	65 kts	51 kts	70 kts		
DV20-394	Chair Flying - Phase Decision Drills	At this point in Normal takeoff, During the takeoff roll, what should the engine instruments read?	2400 RPM ±100 RPM	1700 RPM	1100–1500 RPM	1100 RPM		
DV20-395	Chair Flying - Phase Decision Drills	At this point in Normal takeoff, leaving the circuit, When leaving the circuit after departure, what is done with the e…	OFF	T/O	ON	UP		
DV20-396	Chair Flying - Phase Decision Drills	At this point in Circuit and normal landing, What is the normal minimum speed over the threshold?	60 kts	70 kts	58 kts	55 kts		
DV20-397	Chair Flying - Phase Decision Drills	At this point in Flaps-up landing — circuit speeds, In a flaps-up landing, what are the downwind, base, and final speed…	70 kts / 70 kts / 70 kts	90 kts / 80 kts / 70 kts	70 kts / 65 kts / 58 kts	75 kts / 70 kts / 60 kts		
DV20-398	Chair Flying - Phase Decision Drills	At this point in Normal landing — throttle idle point, During a normal landing, when is the throttle retarded to idle?	Level flight about 1 m above the runway is established	ON before reducing power	"Increase power setting by 2"""	Clock position combined with above/below/on the horizon		
DV20-399	Chair Flying - Phase Decision Drills	At this point in Short field landing — post-nosewheel action, On a short field landing, what is done after the nosewhee…	Flaps UP and brake carefully	Apply full power for touch-and-go	Leave flaps LDG until clear of runway	Retract carb heat first		
DV20-400	Chair Flying - Phase Decision Drills	At this point in Touch and go (paved) — flap setting, What flap setting is used for a touch and go on a paved runway?	UP (considering distance available)	LDG until rotation	Full flap throughout	T/O always		
DV20-401	Chair Flying - Phase Decision Drills	At this point in Strong crosswind — recommended landing type, In a strong crosswind, what type of landing may be advisa…	A flapless landing	Higher power on final only	Full flap landing always	Slip without rudder correction		
DV20-402	Chair Flying - Phase Decision Drills	At this point in Go-around — flap setting after power, After applying power in a go-around, what flap setting is select…	"T/O after ""Speed checked"" within white arc"	"Increase power setting by 2"""	Clock position combined with above/below/on the horizon	Decrease angle of attack, not altitude loss		
DV20-403	Chair Flying - Phase Decision Drills	At this point in Go-around, balked landing, What is the initial climb speed sequence after a go-around?	58 kts (Vx), then 65 kts (Vy) when clear of obstacles	90 kts until downwind	51 kts until 200 ft	70 kts immediately		
DV20-404	Chair Flying - Phase Decision Drills	At this point in Go-around — flaps UP height/prop setting, After a go-around, above what height are flaps selected UP a…	200 ft AAL	700 ft AAL	500 ft AGL on base	1000 ft AAL		
DV20-405	Chair Flying - Phase Decision Drills	At this point in Go-around at Hilversum — runway side restriction, During a go-around at Hilversum, which side of the r…	Right side of runway due to gliders/paras	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"	100 ft/min extra descend rate		
DV20-406	Chair Flying - Phase Decision Drills	At this point in Rejected takeoff — abort criterion, A rejected takeoff should be executed if a continued takeoff becom…	Rotation	Flap retraction	Crosswind turn	Threats and how to mitigate them		
DV20-407	Chair Flying - Phase Decision Drills	At this point in Engine failure after takeoff, Below what height should a simulated engine failure after takeoff (EFATO…	300 ft AGL	500 ft AGL	700 ft AAL	200 ft AAL		
DV20-408	Chair Flying - Phase Decision Drills	At this point in Engine failure after takeoff — glide speed, After an engine failure after takeoff, to what glide speed…	59 kts with flaps T/O, or 70 kts with flaps UP	Maintain airplane control — fly the airplane	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"		
DV20-409	Chair Flying - Phase Decision Drills	At this point in Engine failure in flight (>1500 ft) — fly-to area, On an engine failure in flight above 1500 ft, where…	Downwind with 1000 ft point	100 ft before desired altitude	2000 ft AGL	3000 ft AGL		
